Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Steinunn Porarinsdottir: Wayfinders,Now through 1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,"Temp: 59°F, Wind: 6 to 9 mph, Light Rain Likely"
Hanako O’Leary: Izanami,Now through 1/28/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,"Temp: 59°F, Wind: 7 mph, Light Rain Likely"
Gage Alumni Show,Now through 1/28/2024,Fountainhead Gallery,Visual Arts & Galleries,Queen Anne / Seattle Center,28.1110963,-80.6740045,"Temp: 71°F, Wind: 10 to 15 mph, Slight Chance Rain Showers"
Genre Box,Now through 1/28/2024,Market Theatre,Theatre,Downtown,52.9516629,-1.1450568781476997,N/A
Bohemia,Now through 1/28/2024,The Triple Door,Theatre,Downtown,47.6086439,-122.337685,"Temp: 59°F, Wind: 7 mph, Light Rain Likely"
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,41.70339675,-91.5874015,"Temp: 34°F, Wind: 5 to 10 mph, Patchy Fog then Mostly Cloudy"
Lee Ritenour and Dave Grusin,Now through 1/28/2024,Dimitriou's Jazz Alley,Music,Downtown,47.6148163,-122.339691,"Temp: 59°F, Wind: 7 mph, Light Rain Likely"
Tacoma Home + Garden Show,Now through 1/28/2024,Tacoma Dome,Festivals & Special Events,South,47.236887249999995,-122.42695224187412,"Temp: 61°F, Wind: 6 mph, Light Rain Likely"
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,"Temp: 59°F, Wind: 7 mph, Light Rain Likely"
Black and Boujee Panel Discussion,1/28/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,47.6251322,-122.51453295865404,"Temp: 57°F, Wind: 9 mph, Chance Light Rain"
Celebrate Asia,1/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,"Temp: 59°F, Wind: 7 mph, Light Rain Likely"
Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,"Temp: 74°F, Wind: 10 to 17 mph, Mostly Sunny"
Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,"Temp: 59°F, Wind: 6 to 9 mph, Light Rain Likely"
